1010085138&&dee23ce7-6f4d-56bb-944e-14242ddba204	2016.01.02	0712	62.13	NA
1010085138&&dee23ce7-6f4d-56bb-944e-14242ddba204	2016.01.04	0471	24.32	NA
1010085138&&dee23ce7-6f4d-56bb-944e-14242ddba204	2016.01.12	0471	27.06	NA
1010085138&&dee23ce7-6f4d-56bb-944e-14242ddba204	2016.01.13	0471	28.01	NA
1010085138&&dee23ce7-6f4d-56bb-944e-14242ddba204	2016.01.13	0471	4.58	NA
1010085138&&dee23ce7-6f4d-56bb-944e-14242ddba204	2016.01.14	1040	152.78	NA
1010085138&&dee23ce7-6f4d-56bb-944e-14242ddba204	2016.01.19	0293	44.59	NA
1010085138&&dee23ce7-6f4d-56bb-944e-14242ddba204	2016.01.22	1040	135.15	NA
1010085138&&dee23ce7-6f4d-56bb-944e-14242ddba204	2016.02.08	0471	114.44	NA
1010085138&&dee23ce7-6f4d-56bb-944e-14242ddba204	2016.02.10	0471	27.8	NA
1010085138&&dee23ce7-6f4d-56bb-944e-14242ddba204	2016.02.12	0471	46.03	NA
1010085138&&dee23ce7-6f4d-56bb-944e-14242ddba204	2016.02.14	1040	63.66	NA
1010085138&&dee23ce7-6f4d-56bb-944e-14242ddba204	2016.02.17	0471	79.19	NA
1010085138&&dee23ce7-6f4d-56bb-944e-14242ddba204	2016.02.19	0293	54.07	NA
1010085138&&dee23ce7-6f4d-56bb-944e-14242ddba204	2016.02.19	0471	51.01	NA
1010085138&&dee23ce7-6f4d-56bb-944e-14242ddba204	2016.02.23	0471	15.54	NA
1010085138&&dee23ce7-6f4d-56bb-944e-14242ddba204	2016.02.29	1040	161.41	NA
1010085138&&dee23ce7-6f4d-56bb-944e-14242ddba204	2016.03.08	0293	164.17	NA
1010085138&&dee23ce7-6f4d-56bb-944e-14242ddba204	2016.03.17	1040	130.43	NA
1010085138&&dee23ce7-6f4d-56bb-944e-14242ddba204	2016.04.01	0471	65.23	NA
1010085138&&dee23ce7-6f4d-56bb-944e-14242ddba204	2016.04.04	0471	23.6	NA
1010085138&&dee23ce7-6f4d-56bb-944e-14242ddba204	2016.04.07	0471	59.12	NA
1010085138&&dee23ce7-6f4d-56bb-944e-14242ddba204	2016.04.08	0471	24.85	NA
1010085138&&dee23ce7-6f4d-56bb-944e-14242ddba204	2016.04.10	1083	86.62	NA
1010085138&&dee23ce7-6f4d-56bb-944e-14242ddba204	2016.04.13	0712	102.35	NA
